,Song ID,danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration ms,songPopularity
223,2bQ3lk19XCgwuNMXSSXivI,0.655,0.936,1,-4.57,0,0.0459,0.0463,0.000878,0.0846,0.7,100.648,312693,45
224,2lrkgtrmmWniRyWsUCoAv1,0.529,0.935,0,-6.466,1,0.0462,0.000663,0.337,0.0974,0.377,130.966,208800,29
225,74aezgcB0WZR48PE7DVUlx,0.715,0.845,6,-6.924,1,0.0625,0.000277,0.798,0.149,0.143,119.884,441427,17
226,71q2KYRyuwjKtufr55CKMm,0.679,0.852,9,-7.203,0,0.0382,8.55E-05,0.0057,0.324,0.876,127.971,244173,35
227,6zkzVqF9cR4uHYyytxQ8Dz,0.7,0.935,10,-8.774,0,0.0408,0.0456,0.831,0.347,0.811,103.984,307400,31
228,6cOyq898FB1fYOewPOwjyS,0.603,0.92,0,-4.828,1,0.0299,7.17E-05,0.11,0.222,0.401,127.868,285533,47
229,7xQYVjs4wZNdCwO0EeAWMC,0.576,0.953,10,-8.968,1,0.0362,0.00106,0.49,0.474,0.303,140.042,456480,62
230,7JiT9tisADBjoq6BpqcNA1,0.637,0.685,0,-9.068,1,0.038,0.228,0.864,0.163,0.806,117.579,195320,0
231,5tR13oIwi5J3elcTZPTTIU,0.516,0.739,2,-8.471,1,0.0292,0.285,0.636,0.111,0.256,109.837,226293,52
232,0lNvrXhFOCbHXmxNLGIC7q,0.513,0.826,8,-8.407,0,0.0574,0.555,3.48E-05,0.366,0.539,94.582,177227,55
233,3VWLlsbP0dSRLzqQeGdskN,0.628,0.973,11,-6.177,0,0.0732,0.000138,0.141,0.081,0.193,140.11,485933,13
234,4jacsL77ZYnpInmTtUBaJW,0.755,0.895,9,-2.619,1,0.0883,0.0507,0.0737,0.222,0.844,118.871,181907,61
235,4RG9Ulx2XrTg2achBTPaoo,0.572,0.857,4,-9.845,0,0.037,0.00341,0.0146,0.155,0.671,133.893,259667,52
236,6uAoFqSLH9UjCPn4yo4HMh,0.553,0.928,0,-6.365,1,0.0447,0.0104,0.00557,0.149,0.59,121.535,244693,50
237,4eqSlSH5HsIZSH9CH23cci,0.587,0.771,0,-6.267,0,0.0304,0.011,0.155,0.0621,0.697,176.217,248600,21
238,3ADCV2Y1T1dxgjLp4bQMFg,0.536,0.868,0,-6.739,1,0.0356,0.000404,0.000506,0.357,0.775,121.719,239427,17
239,08YWNU8Z2JlJ4WtGtdDayW,0.568,0.853,0,-7.962,1,0.0288,0.00123,0.000163,0.0627,0.847,115.595,249973,39
240,52TkawLL5I1B0J0RUgJd2o,0.612,0.648,2,-13.011,1,0.0327,0.0091,0.000752,0.126,0.336,111.675,342920,0
241,48YPEHMOOM953VQfOgvVNM,0.586,0.849,7,-14.693,1,0.0541,0.00384,0.00908,0.256,0.655,115.804,250227,0
242,0Y2aVASwqFLpI7I4QSHZu0,0.536,0.803,1,-13.967,1,0.0346,0.00181,0.69,0.112,0.919,107.676,391027,0
243,4I2NKxhquiPgkqAZzknh9J,0.486,0.885,4,-6.439,1,0.0304,0.0021,0.159,0.382,0.85,107.386,250933,45
244,7uqxozgi3ZkoJDM7Mvv2Tc,0.465,0.863,11,-5.85,1,0.0445,0.00831,9.11E-05,0.199,0.342,119.366,193333,3
245,0J6aoxT1YwtHwVcOmxZBap,0.578,0.733,0,-10.028,1,0.0318,5.57E-05,0.000134,0.318,0.755,127.766,239160,1
246,5AxrGtSF6tymFMNsyiwx2O,0.504,0.878,2,-6.94,1,0.0316,0.0258,0.00537,0.0418,0.923,149.107,193107,39
247,2UpGxxp71l31IAhIetu8x8,0.308,0.942,7,-3.826,1,0.109,0.00292,0.445,0.0623,0.363,120.191,286733,23
248,17hdos7cv1vAvcfoTU4Pym,0.543,0.572,5,-13.124,1,0.0317,0.0685,0.00119,0.0823,0.533,113.312,238120,59
249,14KZSrPmnLV3zFRxddFGor,0.398,0.876,11,-7.201,0,0.0412,0.00123,0,0.264,0.52,85.52,244667,19
250,14KZSrPmnLV3zFRxddFGor,0.398,0.876,11,-7.201,0,0.0412,0.00123,0,0.264,0.52,85.52,244667,19
251,3zEM2QyuTQHm8o20Qinu00,0.426,0.831,0,-6.102,1,0.0283,0.000192,0.000213,0.136,0.532,96.088,313773,22
252,162e4fP8KdgImeIOp15CRg,0.456,0.868,10,-6.338,1,0.0446,0.000113,0.000105,0.425,0.331,102.609,267653,20
253,0YlcvnrV7tMVX1LNBojag4,0.185,0.841,0,-5.264,1,0.0482,0.0037,0,0.31,0.669,198.961,185933,22
254,4kO0kohlRAowAuKvzxZpYC,0.579,0.389,0,-13.241,1,0.0302,0.335,0,0.124,0.602,120.008,209254,5
255,46dhHtHKWlUQtU7m6Labpj,0.378,0.879,0,-8.053,1,0.0493,0.00967,0.125,0.656,0.678,105.864,292240,13
256,4c6vZqYHFur11FbWATIJ9P,0.533,0.761,7,-10.632,1,0.0298,0.013,0.829,0.207,0.917,122.777,162187,64
257,3D0HzwuKEYmVePVqU4fcPX,0.635,0.781,7,-6.045,1,0.0341,8.74E-05,0.00153,0.0412,0.926,127.706,215067,45
258,64otvDsAAAmLVTSEM2FYSW,0.512,0.925,0,-6.654,0,0.048,0.0998,0.000465,0.112,0.162,94.258,231240,6
259,0CBxYZz0mxzViWUvoMnRGi,0.626,0.726,8,-8.918,1,0.0584,8.65E-05,0.613,0.856,0.858,91.144,422427,5
260,3clIHVzJ9J2rvvrFUKLICo,0.34,0.976,9,-4.782,1,0.0912,0.00649,0.00643,0.123,0.669,144.737,232333,60
261,758wEKVqfYopJIHYWdLVd4,0.492,0.862,4,-9.158,0,0.0273,0.0121,0.213,0.228,0.591,112.598,292800,64
262,2mv6GY70UsHiTCGQZ4JfgC,0.731,0.875,7,-6.393,1,0.0459,0.000367,0.858,0.289,0.166,112.775,594453,60
263,4CWgqHRJjDLd2PCedMz8eY,0.491,0.686,11,-8.22,1,0.0289,0.0236,0.269,0.451,0.436,103.707,278827,62
264,433EQGQOsQjWvD5eImXkHf,0.247,0.784,9,-7.452,1,0.0514,0.00136,0.0363,0.558,0.346,127.001,299320,53
265,1vW6lAtewJNs7oezT8wDQd,0.417,0.877,2,-8.422,1,0.0495,0.00258,0.00165,0.398,0.593,91.578,347093,52
266,0xZuxFQjLWZnRMOFlFDsF5,0.597,0.91,7,-7.66,1,0.0374,2.26E-05,0.341,0.0945,0.58,104.932,316746,13
267,5PBMj0trVEBwaHpg0kz0Jz,0.547,0.764,5,-12.552,1,0.0419,0.000523,1.79E-05,0.285,0.722,117.722,239493,28
268,6hI8qP6AkRc3e965iqICG8,0.631,0.861,4,-8.315,0,0.0514,0.000281,0.000276,0.0612,0.818,126.647,279960,6
269,1pmlA7CcHABOF7zkzn7Xdf,0.278,0.813,4,-9.604,1,0.0477,0.000112,0.00649,0.339,0.703,89.079,463093,43
270,70iBAWl8ap2b70iKK8ls60,0.267,0.858,0,-7.306,1,0.0411,2.78E-05,0.000297,0.338,0.626,184.031,293467,27
271,1cR4RUxOQ9L6gBfSiJ4HbP,0.444,0.68,4,-8.812,1,0.034,0.000209,0,0.259,0.713,153.998,213107,27
272,0iAcyO7WLhnC7WOTOpjGv1,0.322,0.952,9,-6.925,1,0.205,0.000202,0.219,0.0671,0.257,161.79,136773,44
273,6LpKziy8JtKAQG7C6KBxCn,0.467,0.853,7,-6.661,1,0.0377,0.0072,0.000858,0.354,0.236,110.957,266800,49
274,4pCfNA9bjI3pccG5s9fm7J,0.438,0.904,2,-4.789,1,0.0778,0.011,0.0879,0.835,0.238,131.957,200400,52
275,3ZJAp1N2Stlo2ixvn9rmuM,0.478,0.875,0,-5.484,1,0.0544,0.00483,0.00972,0.121,0.509,148.433,205560,44
276,0mIZErjrNQzOTDtn4UYflo,0.373,0.931,10,-6.886,1,0.0529,4.55E-05,0.559,0.0814,0.368,150.702,295800,47
277,3p0rnbnQc8WPJjcMyUsglj,0.18,0.735,7,-5.748,0,0.0529,3.06E-06,0.695,0.087,0.154,151.622,192960,42
278,5afa3W4rCWxEWeXW3hWMRe,0.286,0.844,0,-6.41,1,0.0462,5.29E-05,0.00205,0.0596,0.684,163.738,154627,34
279,7KxK13xRxTz6JlDtGG9GzL,0.411,0.703,0,-8.016,1,0.0334,0.000212,0,0.0621,0.425,88.364,256933,4
280,5ibELGcXGqX5x9TWFeNPxY,0.522,0.799,4,-3.641,1,0.0301,8.38E-06,0.0659,0.174,0.196,112.448,305707,59
281,37pFLuNVnAJQL9ysRoKTdy,0.344,0.921,2,-3.049,1,0.0459,0.00143,1.13E-05,0.38,0.396,126.766,235693,51
282,2VmyLy2HQlkevZYboXHM5O,0.222,0.81,0,-6.189,1,0.0399,0.000188,0.0181,0.084,0.266,96.302,290960,57
283,75Ii3Myt6vRsbjzaTbwDQt,0.617,0.832,9,-8.015,1,0.0334,8.83E-05,8.02E-05,0.183,0.375,117.98,260507,50
284,3KnMN356dGY4CuGhfIdwMF,0.505,0.662,2,-8.277,0,0.0325,0.00257,3.64E-05,0.057,0.33,95.666,369760,41
285,4Pko624A5V72Afmm8N8JsX,0.582,0.782,6,-5.868,0,0.0305,9.62E-06,0.119,0.0831,0.481,137.962,239600,29
286,4l9Q4Gj4Q4C8otgr5kIPAd,0.709,0.977,9,-5.345,0,0.111,0.0046,0.00301,0.31,0.327,140.754,249067,16
287,2Wx5tBC8sxVeqRwgI3uCJ2,0.32,0.748,7,-6.513,1,0.0448,0.00115,0,0.137,0.374,132.488,224627,25
288,0qWQxgHDjlE1kcLP0SHkRK,0.476,0.387,4,-11.162,0,0.0276,0.375,0.00162,0.102,0.275,72.555,218800,40
289,0zZxswppKfwJfTFQr2bLXK,0.628,0.847,5,-5.705,1,0.0297,0.0792,0.000668,0.0544,0.65,113.713,212373,44
290,3AeJ0WHylq1f3mVdQeFfvI,0.673,0.606,9,-14.292,1,0.0475,0.134,0.00838,0.122,0.488,100.951,194493,10
291,2wzTHuw8nhFSXUU27x0PFa,0.499,0.975,5,-4.504,1,0.0538,8.60E-05,0.0721,0.0258,0.509,109.997,414080,54
292,3KoJckjaWGPpqfyVLrLjVS,0.313,0.854,1,-6.228,1,0.0442,0.000169,0.365,0.111,0.234,171.755,255413,44
293,478PWxN5mJisvnGaOvItX4,0.55,0.899,1,-4.097,1,0.0292,0.00701,0.00892,0.123,0.342,130.002,285427,43
294,2nQ8AgCllOLaP7SlmvYPxR,0.4,0.821,9,-5.541,0,0.0457,0.00247,0,0.129,0.352,124.948,222133,0
295,4CpmDWDsMO6z8JJvZphUVD,0.275,0.892,0,-7.991,1,0.06,0.0474,0.229,0.0879,0.281,139.172,248880,16
296,0tJNHEZs49G3lFzJ0rhXyI,0.375,0.941,9,-7.318,1,0.0394,0.0119,0,0.371,0.553,90.184,272893,15
297,6n7DPxB9iDRBE7blGPXaG3,0.395,0.764,9,-7.587,0,0.0392,0.00238,0.00614,0.135,0.545,120.35,230840,16
