artist,pos_count,nouns_count,verbs_count,adjs_counts,avgNounRatio,avgVerbRatio,avgAdjRatio,acousticness,danceability,duration,energy,instrumentalness,liveness,loudness,mode,song key,speechiness,tempo,time signature,valence,Compound Score,Positive Score,Negative Score,Neutral Score
Don McLean,248.6428571,31,52.78571429,17.07142857,0.124497992,0.21199082,0.068559954,0.696285714,0.438571429,203352.2143,0.289071429,0.047867131,0.226742857,-15.75007143,0.785714286,6.142857143,0.032957143,108.8145714,3.857142857,0.467785714,0.275285714,0.153285714,0.125285714,0.7215
Don Moen,321,35,67.83333333,23.16666667,0.109034268,0.211318795,0.072170301,0.569,0.4695,266449.1667,0.3885,0.000362357,0.352666667,-10.01616667,1,4.833333333,0.027183333,89.14433333,4,0.235333333,0.993733333,0.254166667,0.037166667,0.7085
Donna Summer,312.4545455,43.18181818,53.18181818,20.72727273,0.138403263,0.170454545,0.066433566,0.09113,0.742363636,368787,0.629636364,0.080454382,0.147845455,-12.92381818,0.636363636,4.181818182,0.043818182,123.2993636,4,0.783818182,0.725772727,0.258363636,0.063272727,0.678363636
Doobie Brothers,267.7,33.2,54.6,13.1,0.123880597,0.203731343,0.048880597,0.2742,0.6787,215926.6,0.5411,8.09E-05,0.08003,-12.8849,0.6,3.6,0.03632,125.9773,3.9,0.9071,0.43419,0.1247,0.0597,0.8159
Doors,239.5555556,38.44444444,46,17.11111111,0.160185185,0.191666667,0.071296296,0.377033333,0.511222222,299508.1111,0.578111111,0.003512406,0.126711111,-8.420666667,0.555555556,5.666666667,0.037077778,125.035,4,0.615577778,0.101133333,0.139666667,0.165,0.695333333
Doris Day,158,26,30,18,0.164556962,0.189873418,0.113924051,0.91,0.226,205893,0.108,3.04E-05,0.145,-13.352,1,5,0.0368,81.874,4,0.141,0.971,0.173,0,0.827
Dream Theater,357.8,52.1,71,25.8,0.145530726,0.198324022,0.072067039,0.00178359,0.4414,533714.5,0.8886,0.03902416,0.21537,-6.7911,0.5,5.9,0.08325,135.9018,4,0.30853,-0.10983,0.0854,0.1598,0.7546
Dusty Springfield,299.6666667,31,63.83333333,17.5,0.103333333,0.212777778,0.058333333,0.443666667,0.426,172977.8333,0.5235,1.97E-07,0.14315,-9.7085,0.666666667,8.333333333,0.035683333,111.6811667,3.666666667,0.538833333,-0.137683333,0.118333333,0.120166667,0.761333333
Eagles,274.75,32.5,59.75,22,0.118181818,0.217272727,0.08,0.2964775,0.54575,234116.25,0.6965,0.000828475,0.2295,-9.8785,1,6.25,0.034625,141.817,4,0.78925,0.990025,0.21725,0.02625,0.7565
Ed Sheeran,455.3,56.3,94.2,28,0.123736264,0.207032967,0.061538462,0.50933,0.675,270402.7,0.35889,0.0010772,0.16042,-11.0485,0.9,3.3,0.04365,95.8033,4,0.3823,0.79724,0.2223,0.0619,0.7158
Eddie Cochran,250.5,35.25,48.91666667,14.08333333,0.141,0.195666667,0.056333333,0.347883333,0.6475,125111.0833,0.641833333,0.011452595,0.144358333,-10.84166667,0.916666667,6.75,0.068733333,138.6198333,3.916666667,0.913083333,0.684925,0.180916667,0.037833333,0.78125
Electric Light Orchestra,318.9285714,41.71428571,55.35714286,21.5,0.130765786,0.173533363,0.067398119,0.482885714,0.578642857,253217.2143,0.569571429,0.000367471,0.287821429,-8.495928571,0.642857143,5.214285714,0.031771429,116.4572143,4,0.632,-0.180242857,0.112214286,0.174857143,0.713
Ella Fitzgerald,277,34.22222222,58.33333333,15.44444444,0.123545929,0.210589651,0.055756117,0.709777778,0.616333333,249746.5556,0.232222222,0,0.124911111,-13.64688889,0.555555556,2.555555556,0.085288889,106.7902222,4,0.492,0.560677778,0.191666667,0.055,0.753777778
Ellie Goulding,490.6666667,52,124.8333333,24.33333333,0.105906314,0.254243041,0.049558724,0.442833333,0.566,235136.5,0.6515,6.40E-05,0.142516667,-6.4765,0.5,5.833333333,0.04495,133.6503333,4,0.473,0.501666667,0.189166667,0.078333333,0.732166667
Elton John,227.8,29.2,47.4,16,0.128070175,0.207894737,0.070175439,0.33452,0.5192,241908.4,0.7058,0.040772136,0.13216,-7.577,0.8,3.2,0.07842,132.9778,3.8,0.7392,0.4098,0.1572,0.0742,0.7688
Elvis Costello,263.8,30.8,62.2,17.8,0.116666667,0.235606061,0.067424242,0.42484,0.598,188397.4,0.488,0.001950558,0.19548,-9.867,0.6,1.8,0.05042,121.0842,4,0.509,0.53344,0.1648,0.0992,0.736
