artist,acousticness,danceability,duration,energy,instrumentalness,liveness,loudness,mode,song key,speechiness,tempo,time signature,valence,compound,positive,negative,neutral
Bread,0.7443,0.47,174648,0.24432,0.000304126,0.11987,-15.3858,1,7,0.03022,110.829,4,0.3851,0.44347,0.1073,0.0652,0.8276
Britney Spears,0.122298333,0.743,213691.1667,0.7035,0.0002028,0.1323,-4.9745,0.5,5,0.039983333,119.708,4,0.700166667,0.44045,0.091833333,0.0935,0.815
Bruce Springsteen,0.105297143,0.579285714,221041.7143,0.827,0.002264684,0.192,-7.040714286,0.857142857,6.714285714,0.038014286,117.3091429,4,0.817428571,0.833485714,0.145857143,0.057142857,0.797
Bruno Mars,0.295827273,0.672909091,210761.8182,0.641090909,6.58E-06,0.160981818,-5.354909091,0.636363636,4.090909091,0.053090909,128.7349091,4,0.565,0.4177,0.195181818,0.062090909,0.742636364
Bryan White,0.282472727,0.501272727,206333.6364,0.467545455,4.33E-07,0.114627273,-9.996181818,1,3.818181818,0.032781818,128.192,4,0.419745455,0.467918182,0.171090909,0.079909091,0.749272727
Cake,0.090643333,0.6125,215362.3333,0.751666667,0.014611017,0.121133333,-7.843166667,0.5,9.666666667,0.06105,136.025,4,0.805833333,0.330633333,0.131666667,0.092666667,0.775333333
Carly Simon,0.462771429,0.576142857,225949.1429,0.520714286,0.000185994,0.1482,-11.39985714,0.857142857,5.142857143,0.031685714,110.9734286,4,0.593,0.904371429,0.189571429,0.062714286,0.747571429
Carol Banawa,0.805857143,0.404142857,251762.4286,0.356,0.128169129,0.171285714,-9.019142857,1,2.285714286,0.031585714,123.6275714,3.857142857,0.191571429,0.775442857,0.172,0.054571429,0.773857143
Carpenters,0.741692308,0.388615385,215546.5385,0.300307692,0.00128921,0.124392308,-13.14538462,0.923076923,5.846153846,0.036415385,123.8615385,3.846153846,0.374392308,0.966953846,0.191307692,0.059615385,0.749153846
Cat Stevens,0.487331579,0.544473684,206286.5789,0.412631579,0.030965221,0.110178947,-11.63789474,1,3.684210526,0.037957895,121.7938947,3.947368421,0.575842105,0.593084211,0.191789474,0.084842105,0.723421053
Celine Dion,0.18635,0.5175,261267,0.4825,0.01195262,0.1343,-7.546,0.5,9.5,0.03355,110.2735,4,0.26465,0.93865,0.2065,0.0835,0.71
Chaka Khan,0.302276471,0.690941176,256571.6471,0.663941176,0.085485113,0.169070588,-8.971941176,0.705882353,5.705882353,0.071794118,110.2054118,4,0.743764706,0.945441176,0.243764706,0.062411765,0.693764706
Cheap Trick,0.147018333,0.545166667,281416.6667,0.696666667,0.047814782,0.246416667,-10.23208333,0.916666667,3.75,0.0334,121.3599167,4,0.593333333,-0.065008333,0.118,0.128,0.753916667
Cher,0.30644,0.557,231082.8,0.613,0,0.16892,-10.2406,0.8,7,0.03662,125.8652,4,0.4676,0.73184,0.131,0.1026,0.7664
Chicago,0.577333333,0.533,282020,0.514,1.03E-06,0.0962,-8.874666667,0.666666667,5.333333333,0.056166667,90.68166667,4,0.429666667,0.8591,0.109,0.021,0.87
Chris Rea,0.129972727,0.630090909,263712.6364,0.633363636,0.057504355,0.151690909,-10.29354545,0.363636364,5.727272727,0.032063636,122.6860909,3.818181818,0.648181818,0.804936364,0.144272727,0.048454545,0.807272727
